"id";"lang";"label";"type";"code"
"Q403";"fr";"Serbie";"sta";"SRB"
"Q958";"fr";"Soudan du Sud";"sta";"SSD"
"Q1039";"fr";"Sao Tomé-et-Principe";"sta";"STP"
"Q730";"fr";"Suriname";"sta";"SUR"
"Q214";"fr";"Slovaquie";"sta";"SVK"
"Q215";"fr";"Slovénie";"sta";"SVN"
"Q34";"fr";"Suède";"sta";"SWE"
"Q1050";"fr";"Eswatini";"sta";"SWZ"
"Q1042";"fr";"Seychelles";"sta";"SYC"
"Q858";"fr";"Syrie";"sta";"SYR"
"Q657";"fr";"Tchad";"sta";"TCD"
"Q945";"fr";"Togo";"sta";"TGO"
"Q869";"fr";"Thaïlande";"sta";"THA"
"Q863";"fr";"Tadjikistan";"sta";"TJK"
"Q874";"fr";"Turkménistan";"sta";"TKM"
"Q574";"fr";"Timor oriental";"sta";"TLS"
"Q678";"fr";"Tonga";"sta";"TON"
"Q754";"fr";"Trinité-et-Tobago";"sta";"TTO"
"Q948";"fr";"Tunisie";"sta";"TUN"
"Q43";"fr";"Turquie";"sta";"TUR"
"Q672";"fr";"Tuvalu";"sta";"TUV"
"Q865";"fr";"Taïwan";"sta";"TWN"
"Q924";"fr";"Tanzanie";"sta";"TZA"
"Q1036";"fr";"Ouganda";"sta";"UGA"
"Q212";"fr";"Ukraine";"sta";"UKR"
"Q77";"fr";"Uruguay";"sta";"URY"
"Q30";"fr";"États-Unis";"sta";"USA"
"Q265";"fr";"Ouzbékistan";"sta";"UZB"
"Q237";"fr";"Cité du Vatican";"sta";"VAT"
"Q757";"fr";"Saint-Vincent-et G. ";"sta";"VCT"
"Q717";"fr";"Venezuela";"sta";"VEN"
"Q881";"fr";"Viêt Nam";"sta";"VNM"
"Q686";"fr";"Vanuatu";"sta";"VUT"
"Q683";"fr";"Samoa";"sta";"WSM"
"Q805";"fr";"Yémen";"sta";"YEM"
"Q258";"fr";"Afrique du Sud";"sta";"ZAF"
"Q953";"fr";"Zambie";"sta";"ZMB"
"Q954";"fr";"Zimbabwe";"sta";"ZWE"
